"","Season","name","System","Implementing agency","Unit type","total"
"149","Winter-2018","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2758
"150","Winter-2019","Carley State Park","Department of Natural Resources State Park","DNR","State Park",900
"151","Winter-2020","Carley State Park","Department of Natural Resources State Park","DNR","State Park",1269
"152","Winter-2021","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2410
"153","Winter-2022","Carley State Park","Department of Natural Resources State Park","DNR","State Park",364
"154","Fall-2018","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",18474
"155","Fall-2019","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",21604
"156","Fall-2020","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",26734
"157","Fall-2021","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",19841
"158","Spring-2018","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",16218
"159","Spring-2019","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",13523
"160","Spring-2020","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",8314
"161","Spring-2021","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",27337
"162","Summer-2018","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",38672
"163","Summer-2019","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",44915
"164","Summer-2020","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",52572
"165","Summer-2021","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",47878
"166","Winter-2018","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",7345
"167","Winter-2019","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",4273
"168","Winter-2020","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",5140
"169","Winter-2021","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",8593
"170","Winter-2022","Cascade River State Park","Department of Natural Resources State Park","DNR","State Park",1306
"171","Fall-2018","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2251
"172","Fall-2019","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",4224
"173","Fall-2020","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",4279
"174","Fall-2021","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",3977
"175","Spring-2018","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2795
"176","Spring-2019","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2603
"177","Spring-2020","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",5066
"178","Spring-2021","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",4793
"179","Summer-2018","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",6284
"180","Summer-2019","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",10634
"181","Summer-2020","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",9852
"182","Summer-2021","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",6438
"183","Winter-2018","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",853
"184","Winter-2019","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",888
"185","Winter-2020","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",1113
"186","Winter-2021","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",2333
"187","Winter-2022","Charles A Lindbergh State Park","Department of Natural Resources State Park","DNR","State Park",167
"188","Fall-2018","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",7217
"189","Fall-2019","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",5975
"190","Fall-2020","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",9592
"191","Fall-2021","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",7664
"192","Spring-2018","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",3487
"193","Spring-2019","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",3149
"194","Spring-2020","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",7135
"195","Spring-2021","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",5953
"196","Summer-2018","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",17540
"197","Summer-2019","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",15659
"198","Summer-2020","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",17946
"199","Summer-2021","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",12241
"200","Winter-2018","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",1959
"201","Winter-2019","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",696
"202","Winter-2020","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",941
"203","Winter-2021","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",1372
"204","Winter-2022","Crow Wing State Park","Department of Natural Resources State Park","DNR","State Park",260
"205","Fall-2018","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",9283
"206","Fall-2019","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",9575
"207","Fall-2020","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10691
"208","Fall-2021","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10780
"209","Spring-2018","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10388
"210","Spring-2019","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",6234
"211","Spring-2020","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",4839
"212","Spring-2021","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",10751
"213","Summer-2018","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",42601
"214","Summer-2019","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",32630
"215","Summer-2020","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",42678
"216","Summer-2021","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",31781
"217","Winter-2018","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",2486
"218","Winter-2019","Father Hennepin State Park","Department of Natural Resources State Park","DNR","State Park",1123
