"","Season","name","System","Implementing agency","Unit type","total"
"929","Summer-2020","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",3155
"930","Summer-2021","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",1607
"931","Winter-2018","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",2250
"932","Winter-2019","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",1261
"933","Winter-2020","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",1032
"934","Winter-2021","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",768
"935","Winter-2022","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",99
"936","Fall-2018","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",27261
"937","Fall-2019","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",20242
"938","Fall-2020","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",23594
"939","Fall-2021","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",18110
"940","Spring-2018","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",15649
"941","Spring-2019","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",16419
"942","Spring-2020","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",22553
"943","Spring-2021","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",19611
"944","Summer-2018","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",47022
"945","Summer-2019","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",71118
"946","Summer-2020","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",59150
"947","Summer-2021","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",46632
"948","Winter-2018","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",3108
"949","Winter-2019","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",4869
"950","Winter-2020","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",4671
"951","Winter-2021","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",5855
"952","Winter-2022","Sibley State Park","Department of Natural Resources State Park","DNR","State Park",748
"953","Fall-2018","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",1778
"954","Fall-2019","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",1621
"955","Fall-2020","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",2193
"956","Fall-2021","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",1940
"957","Spring-2018","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",2477
"958","Spring-2019","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",1453
"959","Spring-2020","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",1563
"960","Spring-2021","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",3330
"961","Summer-2018","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",10935
"962","Summer-2019","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",7154
"963","Summer-2020","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",10351
"964","Summer-2021","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",7410
"965","Winter-2018","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",1717
"966","Winter-2019","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",765
"967","Winter-2020","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",371
"968","Winter-2021","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",504
"969","Winter-2022","Split Rock Creek State Park","Department of Natural Resources State Park","DNR","State Park",69
"970","Fall-2018","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",27844
"971","Fall-2019","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",22863
"972","Fall-2020","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",28717
"973","Fall-2021","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",21459
"974","Spring-2018","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",21433
"975","Spring-2019","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",14596
"976","Spring-2020","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",17408
"977","Spring-2021","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",23573
"978","Summer-2018","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",47917
"979","Summer-2019","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",39401
"980","Summer-2020","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",64043
"981","Summer-2021","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",40249
"982","Winter-2018","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",9341
"983","Winter-2019","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",9638
"984","Winter-2020","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",5977
"985","Winter-2021","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",11372
"986","Winter-2022","Split Rock Lighthouse State Park","Department of Natural Resources State Park","DNR","State Park",2656
"987","Fall-2018","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",42608
"988","Fall-2019","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",39312
"989","Fall-2020","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",33046
"990","Fall-2021","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",19300
"991","Spring-2018","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",31169
"992","Spring-2019","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",27855
"993","Spring-2020","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",11975
"994","Spring-2021","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",31255
"995","Summer-2018","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",75438
"996","Summer-2019","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",75836
"997","Summer-2020","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",48393
"998","Summer-2021","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",42008
"999","Winter-2018","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",7528
"1000","Winter-2019","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",10094
"1001","Winter-2020","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",16547
"1002","Winter-2021","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",13376
"1003","Winter-2022","St Croix State Park","Department of Natural Resources State Park","DNR","State Park",1560
"1004","Fall-2018","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",38993
"1005","Fall-2019","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",34376
"1006","Fall-2020","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",31138
"1007","Fall-2021","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",27128
"1008","Spring-2018","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",18932
"1009","Spring-2019","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",20278
"1010","Spring-2020","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",11325
"1011","Spring-2021","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",28278
"1012","Summer-2018","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",68697
"1013","Summer-2019","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",63187
"1014","Summer-2020","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",69109
"1015","Summer-2021","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",51331
"1016","Winter-2018","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",8786
"1017","Winter-2019","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",6922
"1018","Winter-2020","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",4448
"1019","Winter-2021","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",9751
"1020","Winter-2022","Temperance River State Park","Department of Natural Resources State Park","DNR","State Park",1915
"1021","Fall-2018","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",109177
"1022","Fall-2019","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",108348
"1023","Fall-2020","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",129241
"1024","Fall-2021","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",88004
"1025","Spring-2018","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",73246
"1026","Spring-2019","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",65531
"1027","Spring-2020","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",41580
"1028","Spring-2021","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",87188
"1029","Summer-2018","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",214499
"1030","Summer-2019","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",225616
"1031","Summer-2020","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",272368
"1032","Summer-2021","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",173507
"1033","Winter-2018","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",23864
"1034","Winter-2019","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",25900
"1035","Winter-2020","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",23119
"1036","Winter-2021","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",27127
"1037","Winter-2022","Tettegouche State Park","Department of Natural Resources State Park","DNR","State Park",5194
"1038","Fall-2018","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",4437
"1039","Fall-2019","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",1492
"1040","Fall-2020","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",2851
"1041","Fall-2021","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",1565
"1042","Spring-2018","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",8902
"1043","Spring-2019","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",848
"1044","Spring-2020","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",939
"1045","Spring-2021","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",2250
"1046","Summer-2018","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",26475
"1047","Summer-2019","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",2263
"1048","Summer-2020","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",4303
"1049","Summer-2021","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",3007
"1050","Winter-2018","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",1693
"1051","Winter-2019","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",818
"1052","Winter-2020","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",824
"1053","Winter-2021","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",539
"1054","Winter-2022","Upper Sioux Agency State Park","Department of Natural Resources State Park","DNR","State Park",66
"1055","Fall-2018","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",16585
"1056","Fall-2019","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",10232
"1057","Fall-2020","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",12536
"1058","Fall-2021","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",8004
"1059","Spring-2018","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",13309
"1060","Spring-2019","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",14709
"1061","Spring-2020","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",17603
"1062","Spring-2021","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",9496
"1063","Summer-2018","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",42283
"1064","Summer-2019","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",27758
"1065","Summer-2020","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",25619
"1066","Summer-2021","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",14512
"1067","Winter-2018","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",6229
"1068","Winter-2019","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",2996
"1069","Winter-2020","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",7224
"1070","Winter-2021","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",3362
"1071","Winter-2022","Whitewater State Park","Department of Natural Resources State Park","DNR","State Park",928
"1072","Fall-2018","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",15597
"1073","Fall-2019","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",13167
"1074","Fall-2020","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",17453
"1075","Fall-2021","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",11871
"1076","Spring-2018","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",9922
"1077","Spring-2019","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",12276
"1078","Spring-2020","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",15140
"1079","Spring-2021","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",14727
"1080","Summer-2018","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",24761
"1081","Summer-2019","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",25256
"1082","Summer-2020","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",35558
"1083","Summer-2021","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",21135
"1084","Winter-2018","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",3244
"1085","Winter-2019","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",5452
"1086","Winter-2020","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",5202
"1087","Winter-2021","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",6300
"1088","Winter-2022","Wild River State Park","Department of Natural Resources State Park","DNR","State Park",771
"1089","Fall-2018","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",16890
"1090","Fall-2019","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",19479
"1091","Fall-2020","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",29163
"1092","Fall-2021","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",17597
"1093","Spring-2018","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",15997
"1094","Spring-2019","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",19569
"1095","Spring-2020","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",36385
"1096","Spring-2021","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",24269
"1097","Summer-2018","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",53130
"1098","Summer-2019","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",45652
"1099","Summer-2020","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",40844
"1100","Summer-2021","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",28134
"1101","Winter-2018","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",8958
"1102","Winter-2019","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",9839
"1103","Winter-2020","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",8439
"1104","Winter-2021","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",10850
"1105","Winter-2022","William O'Brien State Park","Department of Natural Resources State Park","DNR","State Park",596
"1106","Fall-2018","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",7936
"1107","Fall-2019","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",3698
"1108","Fall-2020","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",5051
"1109","Fall-2021","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",5402
"1110","Spring-2018","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",5284
"1111","Spring-2019","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",3576
"1112","Spring-2020","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",3563
"1113","Spring-2021","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",8679
"1114","Summer-2018","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",32252
"1115","Summer-2019","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",27755
"1116","Summer-2020","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",31864
"1117","Summer-2021","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",40084
"1118","Winter-2018","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",4455
"1119","Winter-2019","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",4900
"1120","Winter-2020","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",4189
"1121","Winter-2021","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",3286
"1122","Winter-2022","Zippel Bay State Park","Department of Natural Resources State Park","DNR","State Park",254
