"","name","System","Implementing agency","Unit type","total","visit_year","Season"
"287","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",16454,"2020","Winter"
"288","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",26418,"2021","Winter"
"289","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",3510,"2022","Winter"
"290","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1625,"2018","Fall"
"291","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1423,"2019","Fall"
"292","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1097,"2020","Fall"
"293","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1098,"2021","Fall"
"294","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1435,"2018","Spring"
"295","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",638,"2019","Spring"
"296","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",972,"2020","Spring"
"297","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1807,"2021","Spring"
"298","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",2975,"2018","Summer"
