"Park name","System","Implementing agency","Unit type","Core park","Week start","Weekly vehicle visits","Data source"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-06-10,945,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-06-17,609,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-06-24,448,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-07-01,329,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-07-08,224,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-07-15,329,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-07-22,1106,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-07-29,350,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-08-05,693,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-08-12,833,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-08-19,371,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-08-26,2128,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-09-02,868,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-09-09,336,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-09-16,1113,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-09-23,245,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-09-30,322,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-10-07,483,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-10-14,700,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-10-21,322,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-10-28,105,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-11-04,56,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-11-11,581,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-11-18,56,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-11-25,56,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-12-02,112,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-12-09,84,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-12-16,35,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-12-23,21,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2019-12-30,42,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-01-06,70,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-01-13,84,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-01-20,168,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-01-27,119,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-02-03,105,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-02-10,91,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-02-17,42,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-02-24,84,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-03-02,147,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-03-09,294,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-03-16,539,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-03-23,1078,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-03-30,1449,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-04-06,2135,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-04-13,2863,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-04-20,1736,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-04-27,1197,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-05-04,742,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2020-05-11,1673,"Weekly StreetLight"
