"Park name","Park system","Implementing agency","Unit type","Core park"
"Minneapolis Chain of Lakes (exclusive boundary)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Minnehaha","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Minnehaha (exclusive boundary)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Mississippi Gateway","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Mississippi Gorge (Minneapolis Park and Recreation Board)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Mississippi Gorge (St. Paul Parks and Recreation)","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Mississippi West","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Murphy-Hanrehan","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Noerenberg Gardens","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Nokomis Hiawatha (exclusive boundary)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Nokomis-Hiawatha","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"North Mississippi (Minneapolis Park and Recreation Board)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"North Mississippi (Three Rivers Park District)","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Phalen","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Phalen (exclusive boundary)","Metropolitan Regional Park System","St Paul Parks and Recreation","Regional Park",TRUE
"Pine Point","Metropolitan Regional Park System","Washington County Parks","Regional Park",TRUE
"Rice Creek Chain of Lakes","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Rum River Central","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Silverwood","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Spring Lake (Dakota County Parks)","Metropolitan Regional Park System","Dakota County Parks","Regional Park",TRUE
"Spring Lake (Scott County Parks)","Metropolitan Regional Park System","Scott County Parks","Regional Park",TRUE
"Square Lake","Metropolitan Regional Park System","Washington County Parks","Regional Park",TRUE
"St Croix Bluffs","Metropolitan Regional Park System","Washington County Parks","Regional Park",TRUE
"The Landing","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Theodore Wirth","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Theodore Wirth","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Tony Schmidt","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE
"Vadnais-Snail Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE
"Whitetail Woods","Metropolitan Regional Park System","Dakota County Parks","Regional Park",TRUE
"Minneapolis Chain of Lakes (inclusive boundary)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",FALSE
"Minnehaha (inclusive boundary)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",FALSE
"Nokomis Hiawatha (inclusive boundary)","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",FALSE
"Phalen (inclusive boundary)","Metropolitan Regional Park System","St Paul Parks and Recreation","Regional Park",FALSE
