"Park name","System","Implementing agency","Unit type","Core park","Season","Vehicle visits"
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2019",23867
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2020",20378
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2021",29867
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2022",5367
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2018",32100
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2019",15661
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2020",33284
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2021",19050
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2018",21967
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2019",14985
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2020",37926
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2021",22637
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2018",50349
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2019",29135
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2020",70279
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2021",30943
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2018",7392
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2019",4710
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2020",4343
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2021",10957
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2022",1089
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2018",70180
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2019",30558
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2020",23484
"Barsness Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2021",22447
